DataSeries,year_month,no_of_visitors
        Thailand,1982Jan,na
        Vietnam,1982Jan,na
        Other Markets In Southeast Asia,1982Jan,na
    Greater China,1982Jan,na
        China,1982Jan,168
        Hong Kong SAR,1982Jan,10529
        Taiwan,1982Jan,5820
        Other Markets In Greater China,1982Jan,na
    North Asia,1982Jan,na
        Japan,1982Jan,31173
        South Korea,1982Jan,1831
        Other Markets In North Asia,1982Jan,na
    South Asia,1982Jan,14148
        Bangladesh,1982Jan,1079
        India,1982Jan,9777
        Pakistan,1982Jan,1151
        Sri Lanka,1982Jan,1817
        Other Markets In South Asia,1982Jan,324
    West Asia,1982Jan,3687
        Iran,1982Jan,111
        Israel,1982Jan,na
        Kuwait,1982Jan,220
        Saudi Arabia,1982Jan,1505
        United Arab Emirates,1982Jan,813
        Other Markets In West Asia,1982Jan,na
    Americas,1982Jan,12654
        Canada,1982Jan,2140
        USA,1982Jan,9724
        Other Markets In Americas,1982Jan,na
    Europe,1982Jan,37600
        Belgium & Luxembourg,1982Jan,607
        Denmark,1982Jan,843
        Finland,1982Jan,226
        France,1982Jan,2472
        Germany,1982Jan,6985
        Italy,1982Jan,2503
        Netherlands,1982Jan,3284
        Norway,1982Jan,739
        Rep Of Ireland,1982Jan,na
        Russian Federation,1982Jan,na
        Spain,1982Jan,na
        Sweden,1982Jan,1442
        Switzerland,1982Jan,2873
        United Kingdom,1982Jan,13322
        Other Markets In Europe,1982Jan,na
    Oceania,1982Jan,32964
        Australia,1982Jan,26900
        New Zealand,1982Jan,4872
        Other Markets In Oceania,1982Jan,1192
    Africa,1982Jan,1570
        Egypt,1982Jan,na
        Mauritius,1982Jan,na
        South Africa (Rep Of),1982Jan,na
        Other Markets In Africa,1982Jan,na
    Others,1982Jan,327
Total International Visitor Arrivals By Inbound Tourism Markets,1981Dec,263249
    Southeast Asia,1981Dec,116960
        Brunei Darussalam,1981Dec,na
        Indonesia,1981Dec,na
        Malaysia,1981Dec,na
        Myanmar,1981Dec,na
        Philippines,1981Dec,na
        Thailand,1981Dec,na
        Vietnam,1981Dec,na
        Other Markets In Southeast Asia,1981Dec,na
    Greater China,1981Dec,na
        China,1981Dec,106
        Hong Kong SAR,1981Dec,7396
        Taiwan,1981Dec,5376
        Other Markets In Greater China,1981Dec,na
    North Asia,1981Dec,na
        Japan,1981Dec,28047
        South Korea,1981Dec,2543
        Other Markets In North Asia,1981Dec,na
    South Asia,1981Dec,18008
        Bangladesh,1981Dec,1248
        India,1981Dec,12576
        Pakistan,1981Dec,1233
        Sri Lanka,1981Dec,2586
        Other Markets In South Asia,1981Dec,365
    West Asia,1981Dec,3456
        Iran,1981Dec,97
        Israel,1981Dec,na
        Kuwait,1981Dec,148
        Saudi Arabia,1981Dec,1539
        United Arab Emirates,1981Dec,776
        Other Markets In West Asia,1981Dec,na
    Americas,1981Dec,12621
        Canada,1981Dec,2112
        USA,1981Dec,9958
        Other Markets In Americas,1981Dec,na
    Europe,1981Dec,37010
        Belgium & Luxembourg,1981Dec,660
        Denmark,1981Dec,732
        Finland,1981Dec,347
        France,1981Dec,3011
        Germany,1981Dec,6392
        Italy,1981Dec,1850
        Netherlands,1981Dec,3041
        Norway,1981Dec,684
        Rep Of Ireland,1981Dec,na
        Russian Federation,1981Dec,na
        Spain,1981Dec,na
        Sweden,1981Dec,1481
        Switzerland,1981Dec,2555
        United Kingdom,1981Dec,13479
        Other Markets In Europe,1981Dec,na
    Oceania,1981Dec,29564
        Australia,1981Dec,23841
        New Zealand,1981Dec,4590
        Other Markets In Oceania,1981Dec,1133
    Africa,1981Dec,1641
        Egypt,1981Dec,na
        Mauritius,1981Dec,na
        South Africa (Rep Of),1981Dec,na
        Other Markets In Africa,1981Dec,na
    Others,1981Dec,474
Total International Visitor Arrivals By Inbound Tourism Markets,1981Nov,245404
    Southeast Asia,1981Nov,94658
        Brunei Darussalam,1981Nov,na
        Indonesia,1981Nov,na
        Malaysia,1981Nov,na
        Myanmar,1981Nov,na
        Philippines,1981Nov,na
        Thailand,1981Nov,na
        Vietnam,1981Nov,na
        Other Markets In Southeast Asia,1981Nov,na
    Greater China,1981Nov,na
        China,1981Nov,112
        Hong Kong SAR,1981Nov,5832
        Taiwan,1981Nov,4426
        Other Markets In Greater China,1981Nov,na
    North Asia,1981Nov,na
        Japan,1981Nov,33614
        South Korea,1981Nov,2199
        Other Markets In North Asia,1981Nov,na
    South Asia,1981Nov,15162
        Bangladesh,1981Nov,1057
        India,1981Nov,10327
        Pakistan,1981Nov,1154
        Sri Lanka,1981Nov,2240
        Other Markets In South Asia,1981Nov,384
    West Asia,1981Nov,3026
        Iran,1981Nov,76
        Israel,1981Nov,na
        Kuwait,1981Nov,134
        Saudi Arabia,1981Nov,1163
        United Arab Emirates,1981Nov,586
        Other Markets In West Asia,1981Nov,na
    Americas,1981Nov,17791
        Canada,1981Nov,2400
        USA,1981Nov,14452
        Other Markets In Americas,1981Nov,na
    Europe,1981Nov,39964
        Belgium & Luxembourg,1981Nov,801
        Denmark,1981Nov,829
        Finland,1981Nov,374
        France,1981Nov,3753
        Germany,1981Nov,6974
        Italy,1981Nov,1988
        Netherlands,1981Nov,3771
        Norway,1981Nov,936
        Rep Of Ireland,1981Nov,na
        Russian Federation,1981Nov,na
        Spain,1981Nov,na
        Sweden,1981Nov,1752
        Switzerland,1981Nov,2626
        United Kingdom,1981Nov,13044
        Other Markets In Europe,1981Nov,na
    Oceania,1981Nov,27379
        Australia,1981Nov,22513
        New Zealand,1981Nov,3977
        Other Markets In Oceania,1981Nov,889
    Africa,1981Nov,823
        Egypt,1981Nov,na
        Mauritius,1981Nov,na
        South Africa (Rep Of),1981Nov,na
        Other Markets In Africa,1981Nov,na
    Others,1981Nov,361
Total International Visitor Arrivals By Inbound Tourism Markets,1981Oct,240681
    Southeast Asia,1981Oct,93420
        Brunei Darussalam,1981Oct,na
        Indonesia,1981Oct,na
        Malaysia,1981Oct,na
        Myanmar,1981Oct,na
        Philippines,1981Oct,na
        Thailand,1981Oct,na
        Vietnam,1981Oct,na
        Other Markets In Southeast Asia,1981Oct,na
    Greater China,1981Oct,na
        China,1981Oct,67
        Hong Kong SAR,1981Oct,5329
        Taiwan,1981Oct,3775
        Other Markets In Greater China,1981Oct,na
    North Asia,1981Oct,na
        Japan,1981Oct,25680
        South Korea,1981Oct,1945
        Other Markets In North Asia,1981Oct,na
    South Asia,1981Oct,15503
        Bangladesh,1981Oct,1086
        India,1981Oct,11122
        Pakistan,1981Oct,960
        Sri Lanka,1981Oct,2020
        Other Markets In South Asia,1981Oct,315
    West Asia,1981Oct,4748
        Iran,1981Oct,62
        Israel,1981Oct,na
        Kuwait,1981Oct,167
        Saudi Arabia,1981Oct,2576
        United Arab Emirates,1981Oct,695
        Other Markets In West Asia,1981Oct,na
    Americas,1981Oct,18965
        Canada,1981Oct,2179
        USA,1981Oct,15050
        Other Markets In Americas,1981Oct,na
    Europe,1981Oct,40914
        Belgium & Luxembourg,1981Oct,936
        Denmark,1981Oct,745
        Finland,1981Oct,432
        France,1981Oct,4233
        Germany,1981Oct,7036
        Italy,1981Oct,1713
        Netherlands,1981Oct,3963
        Norway,1981Oct,891
        Rep Of Ireland,1981Oct,na
        Russian Federation,1981Oct,na
        Spain,1981Oct,na
        Sweden,1981Oct,1640
        Switzerland,1981Oct,2569
        United Kingdom,1981Oct,13607
        Other Markets In Europe,1981Oct,na
    Oceania,1981Oct,28594
        Australia,1981Oct,22322
        New Zealand,1981Oct,5629
        Other Markets In Oceania,1981Oct,643
    Africa,1981Oct,1091
        Egypt,1981Oct,na
        Mauritius,1981Oct,na
        South Africa (Rep Of),1981Oct,na
        Other Markets In Africa,1981Oct,na
    Others,1981Oct,591
Total International Visitor Arrivals By Inbound Tourism Markets,1981Sep,207056
    Southeast Asia,1981Sep,79990
        Brunei Darussalam,1981Sep,na
        Indonesia,1981Sep,na
        Malaysia,1981Sep,na
        Myanmar,1981Sep,na
        Philippines,1981Sep,na
        Thailand,1981Sep,na
        Vietnam,1981Sep,na
        Other Markets In Southeast Asia,1981Sep,na
    Greater China,1981Sep,na
        China,1981Sep,34
        Hong Kong SAR,1981Sep,5854
        Taiwan,1981Sep,3402
        Other Markets In Greater China,1981Sep,na
    North Asia,1981Sep,na
        Japan,1981Sep,27138
        South Korea,1981Sep,1545
        Other Markets In North Asia,1981Sep,na
    South Asia,1981Sep,12110
        Bangladesh,1981Sep,798
        India,1981Sep,8196
        Pakistan,1981Sep,1100
        Sri Lanka,1981Sep,1674
        Other Markets In South Asia,1981Sep,342
    West Asia,1981Sep,3780
        Iran,1981Sep,62
        Israel,1981Sep,na
        Kuwait,1981Sep,147
        Saudi Arabia,1981Sep,1885
        United Arab Emirates,1981Sep,698
        Other Markets In West Asia,1981Sep,na
    Americas,1981Sep,12854
        Canada,1981Sep,1320
        USA,1981Sep,10235
        Other Markets In Americas,1981Sep,na
    Europe,1981Sep,32118
        Belgium & Luxembourg,1981Sep,600
        Denmark,1981Sep,485
        Finland,1981Sep,169
        France,1981Sep,3397
        Germany,1981Sep,5546
        Italy,1981Sep,1491
        Netherlands,1981Sep,4249
        Norway,1981Sep,568
        Rep Of Ireland,1981Sep,na
        Russian Federation,1981Sep,na
        Spain,1981Sep,na
        Sweden,1981Sep,757
        Switzerland,1981Sep,1563
        United Kingdom,1981Sep,10809
        Other Markets In Europe,1981Sep,na
    Oceania,1981Sep,26882
        Australia,1981Sep,20311
        New Zealand,1981Sep,5950
        Other Markets In Oceania,1981Sep,621
    Africa,1981Sep,1056
        Egypt,1981Sep,na
        Mauritius,1981Sep,na
        South Africa (Rep Of),1981Sep,na
        Other Markets In Africa,1981Sep,na
    Others,1981Sep,251
Total International Visitor Arrivals By Inbound Tourism Markets,1981Aug,275950
    Southeast Asia,1981Aug,99249
        Brunei Darussalam,1981Aug,na
        Indonesia,1981Aug,na
        Malaysia,1981Aug,na
        Myanmar,1981Aug,na
        Philippines,1981Aug,na
        Thailand,1981Aug,na
        Vietnam,1981Aug,na
        Other Markets In Southeast Asia,1981Aug,na
    Greater China,1981Aug,na
        China,1981Aug,78
        Hong Kong SAR,1981Aug,11244
        Taiwan,1981Aug,5626
        Other Markets In Greater China,1981Aug,na
    North Asia,1981Aug,na
        Japan,1981Aug,44867
        South Korea,1981Aug,2071
        Other Markets In North Asia,1981Aug,na
    South Asia,1981Aug,13864
        Bangladesh,1981Aug,990
        India,1981Aug,9229
        Pakistan,1981Aug,1306
        Sri Lanka,1981Aug,1979
        Other Markets In South Asia,1981Aug,360
    West Asia,1981Aug,5552
        Iran,1981Aug,81
        Israel,1981Aug,na
        Kuwait,1981Aug,391
        Saudi Arabia,1981Aug,2587
        United Arab Emirates,1981Aug,1146
        Other Markets In West Asia,1981Aug,na
    Americas,1981Aug,15388
        Canada,1981Aug,1751
        USA,1981Aug,11678
        Other Markets In Americas,1981Aug,na
    Europe,1981Aug,46267
        Belgium & Luxembourg,1981Aug,1142
        Denmark,1981Aug,461
        Finland,1981Aug,137
        France,1981Aug,7217
        Germany,1981Aug,7395
        Italy,1981Aug,4012
        Netherlands,1981Aug,5443
        Norway,1981Aug,547
        Rep Of Ireland,1981Aug,na
        Russian Federation,1981Aug,na
        Spain,1981Aug,na
        Sweden,1981Aug,880
        Switzerland,1981Aug,1676
        United Kingdom,1981Aug,13823
        Other Markets In Europe,1981Aug,na
    Oceania,1981Aug,30210
        Australia,1981Aug,22540
        New Zealand,1981Aug,6883
        Other Markets In Oceania,1981Aug,787
    Africa,1981Aug,1149
        Egypt,1981Aug,na
        Mauritius,1981Aug,na
        South Africa (Rep Of),1981Aug,na
        Other Markets In Africa,1981Aug,na
    Others,1981Aug,282
Total International Visitor Arrivals By Inbound Tourism Markets,1981Jul,255314
    Southeast Asia,1981Jul,105704
        Brunei Darussalam,1981Jul,na
        Indonesia,1981Jul,na
        Malaysia,1981Jul,na
        Myanmar,1981Jul,na
        Philippines,1981Jul,na
        Thailand,1981Jul,na
        Vietnam,1981Jul,na
        Other Markets In Southeast Asia,1981Jul,na
    Greater China,1981Jul,na
        China,1981Jul,16
        Hong Kong SAR,1981Jul,8341
        Taiwan,1981Jul,5424
        Other Markets In Greater China,1981Jul,na
    North Asia,1981Jul,na
        Japan,1981Jul,27078
        South Korea,1981Jul,1970
        Other Markets In North Asia,1981Jul,na
    South Asia,1981Jul,14153
        Bangladesh,1981Jul,1033
        India,1981Jul,9366
        Pakistan,1981Jul,1545
        Sri Lanka,1981Jul,1889
        Other Markets In South Asia,1981Jul,320
    West Asia,1981Jul,4278
        Iran,1981Jul,102
        Israel,1981Jul,na
        Kuwait,1981Jul,199
        Saudi Arabia,1981Jul,2138
        United Arab Emirates,1981Jul,915
        Other Markets In West Asia,1981Jul,na
    Americas,1981Jul,16685
        Canada,1981Jul,2091
        USA,1981Jul,12402
        Other Markets In Americas,1981Jul,na
    Europe,1981Jul,40058
        Belgium & Luxembourg,1981Jul,1433
        Denmark,1981Jul,618
        Finland,1981Jul,155
        France,1981Jul,4774
        Germany,1981Jul,6776
        Italy,1981Jul,1787
        Netherlands,1981Jul,6316
        Norway,1981Jul,632
        Rep Of Ireland,1981Jul,na
        Russian Federation,1981Jul,na
        Spain,1981Jul,na
        Sweden,1981Jul,1003
        Switzerland,1981Jul,2387
        United Kingdom,1981Jul,11519
        Other Markets In Europe,1981Jul,na
    Oceania,1981Jul,30293
        Australia,1981Jul,24046
        New Zealand,1981Jul,5529
        Other Markets In Oceania,1981Jul,718
    Africa,1981Jul,1118
        Egypt,1981Jul,na
        Mauritius,1981Jul,na
        South Africa (Rep Of),1981Jul,na
        Other Markets In Africa,1981Jul,na
    Others,1981Jul,139
Total International Visitor Arrivals By Inbound Tourism Markets,1981Jun,225874
    Southeast Asia,1981Jun,100825
        Brunei Darussalam,1981Jun,na
        Indonesia,1981Jun,na
        Malaysia,1981Jun,na
        Myanmar,1981Jun,na
        Philippines,1981Jun,na
        Thailand,1981Jun,na
        Vietnam,1981Jun,na
        Other Markets In Southeast Asia,1981Jun,na
    Greater China,1981Jun,na
        China,1981Jun,46
        Hong Kong SAR,1981Jun,5986
        Taiwan,1981Jun,3687
        Other Markets In Greater China,1981Jun,na
    North Asia,1981Jun,na
        Japan,1981Jun,24589
        South Korea,1981Jun,2101
        Other Markets In North Asia,1981Jun,na
    South Asia,1981Jun,14504
        Bangladesh,1981Jun,734
        India,1981Jun,10374
        Pakistan,1981Jun,1541
        Sri Lanka,1981Jun,1531
        Other Markets In South Asia,1981Jun,324
    West Asia,1981Jun,3494
        Iran,1981Jun,89
        Israel,1981Jun,na
        Kuwait,1981Jun,213
        Saudi Arabia,1981Jun,1599
        United Arab Emirates,1981Jun,757
        Other Markets In West Asia,1981Jun,na
    Americas,1981Jun,14905
        Canada,1981Jun,1591
        USA,1981Jun,11935
        Other Markets In Americas,1981Jun,na
    Europe,1981Jun,26486
        Belgium & Luxembourg,1981Jun,567
        Denmark,1981Jun,500
        Finland,1981Jun,147
        France,1981Jun,2680
        Germany,1981Jun,4272
        Italy,1981Jun,1333
        Netherlands,1981Jun,3668
        Norway,1981Jun,629
        Rep Of Ireland,1981Jun,na
        Russian Federation,1981Jun,na
        Spain,1981Jun,na
        Sweden,1981Jun,751
        Switzerland,1981Jun,1474
        United Kingdom,1981Jun,8712
        Other Markets In Europe,1981Jun,na
    Oceania,1981Jun,28192
        Australia,1981Jun,21782
        New Zealand,1981Jun,5731
        Other Markets In Oceania,1981Jun,679
    Africa,1981Jun,787
        Egypt,1981Jun,na
        Mauritius,1981Jun,na
        South Africa (Rep Of),1981Jun,na
        Other Markets In Africa,1981Jun,na
    Others,1981Jun,181
Total International Visitor Arrivals By Inbound Tourism Markets,1981May,220442
    Southeast Asia,1981May,90471
