Region/Country,year_month,no_of_visitors
South Korea,1995-05-01,19977
Other Markets In North Asia,1995-05-01,na
South Asia,1995-05-01,31745
Bangladesh,1995-05-01,3048
India,1995-05-01,20001
Pakistan,1995-05-01,3329
Sri Lanka,1995-05-01,3681
Other Markets In South Asia,1995-05-01,1686
West Asia,1995-05-01,4495
Iran,1995-05-01,771
Israel,1995-05-01,na
Kuwait,1995-05-01,259
Saudi Arabia,1995-05-01,1223
United Arab Emirates,1995-05-01,1073
Other Markets In West Asia,1995-05-01,na
Americas,1995-05-01,34142
Canada,1995-05-01,4596
USA,1995-05-01,27649
Other Markets In Americas,1995-05-01,na
Europe,1995-05-01,66970
Belgium & Luxembourg,1995-05-01,1347
Denmark,1995-05-01,1559
Finland,1995-05-01,919
France,1995-05-01,6148
Germany,1995-05-01,13115
Italy,1995-05-01,3213
Netherlands,1995-05-01,5290
Norway,1995-05-01,1317
Rep Of Ireland,1995-05-01,na
Russian Federation,1995-05-01,na
Spain,1995-05-01,1084
Sweden,1995-05-01,1543
Switzerland,1995-05-01,3641
United Kingdom,1995-05-01,19662
Other Markets In Europe,1995-05-01,na
Oceania,1995-05-01,33516
Australia,1995-05-01,26309
New Zealand,1995-05-01,6192
Other Markets In Oceania,1995-05-01,1015
Africa,1995-05-01,6059
Egypt,1995-05-01,na
Mauritius,1995-05-01,na
South Africa (Rep Of),1995-05-01,na
Other Markets In Africa,1995-05-01,na
Others,1995-05-01,23
Total International Visitor Arrivals By Inbound Tourism Markets,1995-04-01,548881
Southeast Asia,1995-04-01,177475
Brunei Darussalam,1995-04-01,na
Indonesia,1995-04-01,na
Malaysia,1995-04-01,na
Myanmar,1995-04-01,na
Philippines,1995-04-01,na
Thailand,1995-04-01,na
Vietnam,1995-04-01,1382
Other Markets In Southeast Asia,1995-04-01,na
Greater China,1995-04-01,na
China,1995-04-01,16343
Hong Kong SAR,1995-04-01,26795
Taiwan,1995-04-01,48125
Other Markets In Greater China,1995-04-01,na
North Asia,1995-04-01,na
Japan,1995-04-01,71601
South Korea,1995-04-01,20974
Other Markets In North Asia,1995-04-01,na
South Asia,1995-04-01,29273
Bangladesh,1995-04-01,3328
India,1995-04-01,15414
Pakistan,1995-04-01,3760
Sri Lanka,1995-04-01,5106
Other Markets In South Asia,1995-04-01,1665
West Asia,1995-04-01,4102
Iran,1995-04-01,790
Israel,1995-04-01,na
Kuwait,1995-04-01,192
Saudi Arabia,1995-04-01,939
United Arab Emirates,1995-04-01,1061
Other Markets In West Asia,1995-04-01,na
Americas,1995-04-01,31119
Canada,1995-04-01,4604
USA,1995-04-01,25322
Other Markets In Americas,1995-04-01,na
Europe,1995-04-01,82038
Belgium & Luxembourg,1995-04-01,1454
Denmark,1995-04-01,2223
Finland,1995-04-01,995
France,1995-04-01,6351
Germany,1995-04-01,18473
Italy,1995-04-01,2697
Netherlands,1995-04-01,5045
Norway,1995-04-01,1866
Rep Of Ireland,1995-04-01,na
Russian Federation,1995-04-01,na
Spain,1995-04-01,1109
Sweden,1995-04-01,2762
Switzerland,1995-04-01,4500
United Kingdom,1995-04-01,25412
Other Markets In Europe,1995-04-01,na
Oceania,1995-04-01,32257
Australia,1995-04-01,26000
New Zealand,1995-04-01,5208
Other Markets In Oceania,1995-04-01,1049
Africa,1995-04-01,8242
Egypt,1995-04-01,na
Mauritius,1995-04-01,na
South Africa (Rep Of),1995-04-01,na
Other Markets In Africa,1995-04-01,na
Others,1995-04-01,14
Total International Visitor Arrivals By Inbound Tourism Markets,1995-03-01,619688
Southeast Asia,1995-03-01,206778
Brunei Darussalam,1995-03-01,na
Indonesia,1995-03-01,na
Malaysia,1995-03-01,na
Myanmar,1995-03-01,na
Philippines,1995-03-01,na
Thailand,1995-03-01,na
Vietnam,1995-03-01,1340
Other Markets In Southeast Asia,1995-03-01,na
Greater China,1995-03-01,na
China,1995-03-01,17417
Hong Kong SAR,1995-03-01,18362
Taiwan,1995-03-01,37507
Other Markets In Greater China,1995-03-01,na
North Asia,1995-03-01,na
Japan,1995-03-01,111035
South Korea,1995-03-01,32902
Other Markets In North Asia,1995-03-01,na
South Asia,1995-03-01,25455
Bangladesh,1995-03-01,3148
India,1995-03-01,13430
Pakistan,1995-03-01,3609
Sri Lanka,1995-03-01,3767
Other Markets In South Asia,1995-03-01,1501
West Asia,1995-03-01,5689
Iran,1995-03-01,1522
Israel,1995-03-01,na
Kuwait,1995-03-01,278
Saudi Arabia,1995-03-01,1238
United Arab Emirates,1995-03-01,1417
Other Markets In West Asia,1995-03-01,na
Americas,1995-03-01,39140
Canada,1995-03-01,6210
USA,1995-03-01,31758
Other Markets In Americas,1995-03-01,na
Europe,1995-03-01,86797
Belgium & Luxembourg,1995-03-01,1347
Denmark,1995-03-01,2335
Finland,1995-03-01,1176
France,1995-03-01,6172
Germany,1995-03-01,18645
Italy,1995-03-01,3536
Netherlands,1995-03-01,5443
Norway,1995-03-01,1706
Rep Of Ireland,1995-03-01,na
Russian Federation,1995-03-01,na
Spain,1995-03-01,1354
Sweden,1995-03-01,3792
Switzerland,1995-03-01,4467
United Kingdom,1995-03-01,26669
Other Markets In Europe,1995-03-01,na
Oceania,1995-03-01,31107
Australia,1995-03-01,25574
New Zealand,1995-03-01,4395
Other Markets In Oceania,1995-03-01,1138
Africa,1995-03-01,7011
Egypt,1995-03-01,na
Mauritius,1995-03-01,na
South Africa (Rep Of),1995-03-01,na
Other Markets In Africa,1995-03-01,na
Others,1995-03-01,30
Total International Visitor Arrivals By Inbound Tourism Markets,1995-02-01,556744
Southeast Asia,1995-02-01,155700
Brunei Darussalam,1995-02-01,na
Indonesia,1995-02-01,na
Malaysia,1995-02-01,na
Myanmar,1995-02-01,na
Philippines,1995-02-01,na
Thailand,1995-02-01,na
Vietnam,1995-02-01,974
Other Markets In Southeast Asia,1995-02-01,na
Greater China,1995-02-01,na
China,1995-02-01,13318
Hong Kong SAR,1995-02-01,29260
Taiwan,1995-02-01,64140
Other Markets In Greater China,1995-02-01,na
North Asia,1995-02-01,na
Japan,1995-02-01,85093
South Korea,1995-02-01,37299
Other Markets In North Asia,1995-02-01,na
South Asia,1995-02-01,23262
Bangladesh,1995-02-01,3146
India,1995-02-01,12606
Pakistan,1995-02-01,2503
Sri Lanka,1995-02-01,3416
Other Markets In South Asia,1995-02-01,1591
West Asia,1995-02-01,3505
Iran,1995-02-01,651
Israel,1995-02-01,na
Kuwait,1995-02-01,143
Saudi Arabia,1995-02-01,736
United Arab Emirates,1995-02-01,861
Other Markets In West Asia,1995-02-01,na
Americas,1995-02-01,33689
Canada,1995-02-01,5525
USA,1995-02-01,27038
Other Markets In Americas,1995-02-01,na
Europe,1995-02-01,78451
Belgium & Luxembourg,1995-02-01,1306
Denmark,1995-02-01,2137
Finland,1995-02-01,1315
France,1995-02-01,6200
Germany,1995-02-01,15470
Italy,1995-02-01,3277
Netherlands,1995-02-01,4866
Norway,1995-02-01,1853
Rep Of Ireland,1995-02-01,na
Russian Federation,1995-02-01,na
Spain,1995-02-01,1170
Sweden,1995-02-01,3672
Switzerland,1995-02-01,4774
United Kingdom,1995-02-01,23222
Other Markets In Europe,1995-02-01,na
Oceania,1995-02-01,27046
Australia,1995-02-01,22190
New Zealand,1995-02-01,3654
Other Markets In Oceania,1995-02-01,1202
Africa,1995-02-01,5290
Egypt,1995-02-01,na
Mauritius,1995-02-01,na
South Africa (Rep Of),1995-02-01,na
Other Markets In Africa,1995-02-01,na
Others,1995-02-01,30
Total International Visitor Arrivals By Inbound Tourism Markets,1995-01-01,575652
Southeast Asia,1995-01-01,164263
Brunei Darussalam,1995-01-01,na
Indonesia,1995-01-01,na
Malaysia,1995-01-01,na
Myanmar,1995-01-01,na
Philippines,1995-01-01,na
Thailand,1995-01-01,na
Vietnam,1995-01-01,1141
Other Markets In Southeast Asia,1995-01-01,na
Greater China,1995-01-01,na
China,1995-01-01,13705
Hong Kong SAR,1995-01-01,19903
Taiwan,1995-01-01,37639
Other Markets In Greater China,1995-01-01,na
North Asia,1995-01-01,na
Japan,1995-01-01,92230
South Korea,1995-01-01,49998
Other Markets In North Asia,1995-01-01,na
South Asia,1995-01-01,25364
Bangladesh,1995-01-01,3232
India,1995-01-01,13072
Pakistan,1995-01-01,3449
Sri Lanka,1995-01-01,3658
Other Markets In South Asia,1995-01-01,1953
West Asia,1995-01-01,5147
Iran,1995-01-01,835
Israel,1995-01-01,na
Kuwait,1995-01-01,339
Saudi Arabia,1995-01-01,1553
United Arab Emirates,1995-01-01,1126
Other Markets In West Asia,1995-01-01,na
Americas,1995-01-01,36483
Canada,1995-01-01,6000
USA,1995-01-01,28996
Other Markets In Americas,1995-01-01,na
Europe,1995-01-01,81649
Belgium & Luxembourg,1995-01-01,1406
Denmark,1995-01-01,2138
Finland,1995-01-01,1190
France,1995-01-01,5869
Germany,1995-01-01,15986
Italy,1995-01-01,3773
Netherlands,1995-01-01,5460
Norway,1995-01-01,1658
Rep Of Ireland,1995-01-01,na
Russian Federation,1995-01-01,na
Spain,1995-01-01,964
Sweden,1995-01-01,3901
Switzerland,1995-01-01,5213
United Kingdom,1995-01-01,23360
Other Markets In Europe,1995-01-01,na
Oceania,1995-01-01,39401
Australia,1995-01-01,32518
New Zealand,1995-01-01,5451
Other Markets In Oceania,1995-01-01,1432
Africa,1995-01-01,9252
Egypt,1995-01-01,na
Mauritius,1995-01-01,na
South Africa (Rep Of),1995-01-01,na
Other Markets In Africa,1995-01-01,na
Others,1995-01-01,26
Total International Visitor Arrivals By Inbound Tourism Markets,1994-12-01,621277
Southeast Asia,1994-12-01,219654
Brunei Darussalam,1994-12-01,na
Indonesia,1994-12-01,na
Malaysia,1994-12-01,na
Myanmar,1994-12-01,na
Philippines,1994-12-01,na
Thailand,1994-12-01,na
Vietnam,1994-12-01,1462
Other Markets In Southeast Asia,1994-12-01,na
Greater China,1994-12-01,na
China,1994-12-01,18577
Hong Kong SAR,1994-12-01,24375
Taiwan,1994-12-01,39366
Other Markets In Greater China,1994-12-01,na
North Asia,1994-12-01,na
Japan,1994-12-01,94400
South Korea,1994-12-01,30443
Other Markets In North Asia,1994-12-01,na
South Asia,1994-12-01,29682
Bangladesh,1994-12-01,3750
India,1994-12-01,14905
Pakistan,1994-12-01,3960
Sri Lanka,1994-12-01,5369
Other Markets In South Asia,1994-12-01,1698
West Asia,1994-12-01,4877
Iran,1994-12-01,757
Israel,1994-12-01,na
Kuwait,1994-12-01,290
Saudi Arabia,1994-12-01,1257
United Arab Emirates,1994-12-01,1284
Other Markets In West Asia,1994-12-01,na
Americas,1994-12-01,35206
Canada,1994-12-01,6042
USA,1994-12-01,28183
Other Markets In Americas,1994-12-01,na
Europe,1994-12-01,76816
Belgium & Luxembourg,1994-12-01,1534
Denmark,1994-12-01,1597
Finland,1994-12-01,1181
France,1994-12-01,5046
Germany,1994-12-01,13118
Italy,1994-12-01,3411
Netherlands,1994-12-01,5604
Norway,1994-12-01,1756
Rep Of Ireland,1994-12-01,na
Russian Federation,1994-12-01,na
Spain,1994-12-01,1072
Sweden,1994-12-01,3716
Switzerland,1994-12-01,4956
United Kingdom,1994-12-01,23633
Other Markets In Europe,1994-12-01,na
Oceania,1994-12-01,36961
Australia,1994-12-01,30129
New Zealand,1994-12-01,5176
Other Markets In Oceania,1994-12-01,1656
Africa,1994-12-01,10381
Egypt,1994-12-01,na
Mauritius,1994-12-01,na
South Africa (Rep Of),1994-12-01,na
Other Markets In Africa,1994-12-01,na
Others,1994-12-01,32
Total International Visitor Arrivals By Inbound Tourism Markets,1994-11-01,569103
Southeast Asia,1994-11-01,183808
Brunei Darussalam,1994-11-01,na
Indonesia,1994-11-01,na
Malaysia,1994-11-01,na
Myanmar,1994-11-01,na
Philippines,1994-11-01,na
Thailand,1994-11-01,na
Vietnam,1994-11-01,1091
Other Markets In Southeast Asia,1994-11-01,na
Greater China,1994-11-01,na
China,1994-11-01,20308
Hong Kong SAR,1994-11-01,17980
Taiwan,1994-11-01,32974
Other Markets In Greater China,1994-11-01,na
North Asia,1994-11-01,na
Japan,1994-11-01,93271
South Korea,1994-11-01,22825
Other Markets In North Asia,1994-11-01,na
South Asia,1994-11-01,24903
Bangladesh,1994-11-01,3281
India,1994-11-01,12673
Pakistan,1994-11-01,3643
Sri Lanka,1994-11-01,3829
Other Markets In South Asia,1994-11-01,1477
West Asia,1994-11-01,4461
Iran,1994-11-01,720
Israel,1994-11-01,na
Kuwait,1994-11-01,276
Saudi Arabia,1994-11-01,1105
United Arab Emirates,1994-11-01,1063
Other Markets In West Asia,1994-11-01,na
Americas,1994-11-01,36027
Canada,1994-11-01,6558
USA,1994-11-01,28156
Other Markets In Americas,1994-11-01,na
Europe,1994-11-01,92727
Belgium & Luxembourg,1994-11-01,2219
Denmark,1994-11-01,1893
Finland,1994-11-01,1473
France,1994-11-01,6222
Germany,1994-11-01,20155
Italy,1994-11-01,3978
Netherlands,1994-11-01,5849
Norway,1994-11-01,1739
Rep Of Ireland,1994-11-01,na
Russian Federation,1994-11-01,na
Spain,1994-11-01,1636
Sweden,1994-11-01,4302
Switzerland,1994-11-01,6427
United Kingdom,1994-11-01,25957
Other Markets In Europe,1994-11-01,na
Oceania,1994-11-01,31528
Australia,1994-11-01,25270
New Zealand,1994-11-01,4955
Other Markets In Oceania,1994-11-01,1303
Africa,1994-11-01,7879
Egypt,1994-11-01,na
Mauritius,1994-11-01,na
South Africa (Rep Of),1994-11-01,na
Other Markets In Africa,1994-11-01,na
Others,1994-11-01,29
Total International Visitor Arrivals By Inbound Tourism Markets,1994-10-01,564144
Southeast Asia,1994-10-01,179930
Brunei Darussalam,1994-10-01,na
Indonesia,1994-10-01,na
Malaysia,1994-10-01,na
Myanmar,1994-10-01,na
Philippines,1994-10-01,na
Thailand,1994-10-01,na
Vietnam,1994-10-01,1392
Other Markets In Southeast Asia,1994-10-01,na
Greater China,1994-10-01,na
China,1994-10-01,17561
Hong Kong SAR,1994-10-01,17546
Taiwan,1994-10-01,40352
Other Markets In Greater China,1994-10-01,na
North Asia,1994-10-01,na
Japan,1994-10-01,81115
South Korea,1994-10-01,17392
Other Markets In North Asia,1994-10-01,na
South Asia,1994-10-01,26030
Bangladesh,1994-10-01,3397
India,1994-10-01,13413
Pakistan,1994-10-01,3431
Sri Lanka,1994-10-01,4108
Other Markets In South Asia,1994-10-01,1681
West Asia,1994-10-01,4368
Iran,1994-10-01,708
Israel,1994-10-01,na
Kuwait,1994-10-01,232
Saudi Arabia,1994-10-01,1116
United Arab Emirates,1994-10-01,1039
Other Markets In West Asia,1994-10-01,na
Americas,1994-10-01,36800
Canada,1994-10-01,5159
USA,1994-10-01,29385
Other Markets In Americas,1994-10-01,na
Europe,1994-10-01,94528
Belgium & Luxembourg,1994-10-01,2022
Denmark,1994-10-01,2098
Finland,1994-10-01,1063
France,1994-10-01,6869
Germany,1994-10-01,19330
Italy,1994-10-01,4468
Netherlands,1994-10-01,7567
Norway,1994-10-01,1983
Rep Of Ireland,1994-10-01,na
Russian Federation,1994-10-01,na
Spain,1994-10-01,2045
Sweden,1994-10-01,3260
Switzerland,1994-10-01,6095
United Kingdom,1994-10-01,28246
Other Markets In Europe,1994-10-01,na
Oceania,1994-10-01,38385
Australia,1994-10-01,30986
New Zealand,1994-10-01,6094
Other Markets In Oceania,1994-10-01,1305
Africa,1994-10-01,9669
Egypt,1994-10-01,na
Mauritius,1994-10-01,na
South Africa (Rep Of),1994-10-01,na
Other Markets In Africa,1994-10-01,na
Others,1994-10-01,21
Total International Visitor Arrivals By Inbound Tourism Markets,1994-09-01,551510
Southeast Asia,1994-09-01,163644
Brunei Darussalam,1994-09-01,na
Indonesia,1994-09-01,na
Malaysia,1994-09-01,na
Myanmar,1994-09-01,na
Philippines,1994-09-01,na
Thailand,1994-09-01,na
Vietnam,1994-09-01,1297
Other Markets In Southeast Asia,1994-09-01,na
Greater China,1994-09-01,na
China,1994-09-01,13971
Hong Kong SAR,1994-09-01,17766
Taiwan,1994-09-01,40817
Other Markets In Greater China,1994-09-01,na
North Asia,1994-09-01,na
Japan,1994-09-01,104928
South Korea,1994-09-01,18023
Other Markets In North Asia,1994-09-01,na
South Asia,1994-09-01,25159
Bangladesh,1994-09-01,2721
India,1994-09-01,14002
Pakistan,1994-09-01,3005
Sri Lanka,1994-09-01,3844
Other Markets In South Asia,1994-09-01,1587
West Asia,1994-09-01,6216
Iran,1994-09-01,771
Israel,1994-09-01,na
Kuwait,1994-09-01,332
Saudi Arabia,1994-09-01,2095
United Arab Emirates,1994-09-01,1401
Other Markets In West Asia,1994-09-01,na
Americas,1994-09-01,30565
Canada,1994-09-01,3744
USA,1994-09-01,24680
Other Markets In Americas,1994-09-01,na
Europe,1994-09-01,79981
Belgium & Luxembourg,1994-09-01,1670
Denmark,1994-09-01,1818
Finland,1994-09-01,938
France,1994-09-01,5783
Germany,1994-09-01,15116
Italy,1994-09-01,4606
Netherlands,1994-09-01,7729
Norway,1994-09-01,1375
Rep Of Ireland,1994-09-01,na
Russian Federation,1994-09-01,na
Spain,1994-09-01,1816
Sweden,1994-09-01,1984
Switzerland,1994-09-01,4153
United Kingdom,1994-09-01,24635
Other Markets In Europe,1994-09-01,na
Oceania,1994-09-01,41595
Australia,1994-09-01,33102
New Zealand,1994-09-01,7019
Other Markets In Oceania,1994-09-01,1474
Africa,1994-09-01,8227
Egypt,1994-09-01,na
Mauritius,1994-09-01,na
South Africa (Rep Of),1994-09-01,na
Other Markets In Africa,1994-09-01,na
Others,1994-09-01,27
Total International Visitor Arrivals By Inbound Tourism Markets,1994-08-01,664329
Southeast Asia,1994-08-01,184457
Brunei Darussalam,1994-08-01,na
Indonesia,1994-08-01,na
Malaysia,1994-08-01,na
Myanmar,1994-08-01,na
Philippines,1994-08-01,na
Thailand,1994-08-01,na
Vietnam,1994-08-01,1293
Other Markets In Southeast Asia,1994-08-01,na
Greater China,1994-08-01,na
China,1994-08-01,14910
Hong Kong SAR,1994-08-01,37265
Taiwan,1994-08-01,65536
Other Markets In Greater China,1994-08-01,na
North Asia,1994-08-01,na
Japan,1994-08-01,117169
South Korea,1994-08-01,32319
Other Markets In North Asia,1994-08-01,na
South Asia,1994-08-01,25938
Bangladesh,1994-08-01,2951
India,1994-08-01,14024
Pakistan,1994-08-01,3510
Sri Lanka,1994-08-01,3871
Other Markets In South Asia,1994-08-01,1582
West Asia,1994-08-01,10416
Iran,1994-08-01,604
Israel,1994-08-01,na
Kuwait,1994-08-01,505
Saudi Arabia,1994-08-01,4294
United Arab Emirates,1994-08-01,2829
Other Markets In West Asia,1994-08-01,na
Americas,1994-08-01,36102
Canada,1994-08-01,4873
USA,1994-08-01,29534
Other Markets In Americas,1994-08-01,na
Europe,1994-08-01,95020
Belgium & Luxembourg,1994-08-01,2029
Denmark,1994-08-01,1619
Finland,1994-08-01,723
France,1994-08-01,8814
Germany,1994-08-01,14334
Italy,1994-08-01,9489
Netherlands,1994-08-01,7375
Norway,1994-08-01,1607
Rep Of Ireland,1994-08-01,na
Russian Federation,1994-08-01,na
Spain,1994-08-01,2718
Sweden,1994-08-01,1913
Switzerland,1994-08-01,4162
United Kingdom,1994-08-01,28642
Other Markets In Europe,1994-08-01,na
Oceania,1994-08-01,35737
Australia,1994-08-01,27014
New Zealand,1994-08-01,7112
Other Markets In Oceania,1994-08-01,1611
Africa,1994-08-01,8370
Egypt,1994-08-01,na
Mauritius,1994-08-01,na
South Africa (Rep Of),1994-08-01,na
Other Markets In Africa,1994-08-01,na
Others,1994-08-01,45
Total International Visitor Arrivals By Inbound Tourism Markets,1994-07-01,642768
Southeast Asia,1994-07-01,206361
Brunei Darussalam,1994-07-01,na
Indonesia,1994-07-01,na
Malaysia,1994-07-01,na
Myanmar,1994-07-01,na
Philippines,1994-07-01,na
Thailand,1994-07-01,na
Vietnam,1994-07-01,1315
Other Markets In Southeast Asia,1994-07-01,na
Greater China,1994-07-01,na
China,1994-07-01,14332
Hong Kong SAR,1994-07-01,28985
Taiwan,1994-07-01,63355
Other Markets In Greater China,1994-07-01,na
North Asia,1994-07-01,na
Japan,1994-07-01,90550
South Korea,1994-07-01,24121
Other Markets In North Asia,1994-07-01,na
South Asia,1994-07-01,27505
Bangladesh,1994-07-01,2776
India,1994-07-01,14677
Pakistan,1994-07-01,4562
Sri Lanka,1994-07-01,3923
Other Markets In South Asia,1994-07-01,1567
West Asia,1994-07-01,8928
Iran,1994-07-01,626
Israel,1994-07-01,na
Kuwait,1994-07-01,408
Saudi Arabia,1994-07-01,2621
United Arab Emirates,1994-07-01,2915
Other Markets In West Asia,1994-07-01,na
Americas,1994-07-01,36732
Canada,1994-07-01,5128
USA,1994-07-01,29755
Other Markets In Americas,1994-07-01,na
Europe,1994-07-01,88543
Belgium & Luxembourg,1994-07-01,2587
Denmark,1994-07-01,2628
Finland,1994-07-01,719
France,1994-07-01,7194
Germany,1994-07-01,14992
Italy,1994-07-01,4941
Netherlands,1994-07-01,8635
Norway,1994-07-01,2410
Rep Of Ireland,1994-07-01,na
Russian Federation,1994-07-01,na
Spain,1994-07-01,1818
Sweden,1994-07-01,3172
Switzerland,1994-07-01,5129
United Kingdom,1994-07-01,24964
Other Markets In Europe,1994-07-01,na
Oceania,1994-07-01,43459
Australia,1994-07-01,35183
New Zealand,1994-07-01,6441
Other Markets In Oceania,1994-07-01,1835
Africa,1994-07-01,9268
Egypt,1994-07-01,na
Mauritius,1994-07-01,na
South Africa (Rep Of),1994-07-01,na
Other Markets In Africa,1994-07-01,na
Others,1994-07-01,39
Total International Visitor Arrivals By Inbound Tourism Markets,1994-06-01,531476
Southeast Asia,1994-06-01,196609
Brunei Darussalam,1994-06-01,na
Indonesia,1994-06-01,na
Malaysia,1994-06-01,na
Myanmar,1994-06-01,na
Philippines,1994-06-01,na
Thailand,1994-06-01,na
Vietnam,1994-06-01,1134
Other Markets In Southeast Asia,1994-06-01,na
Greater China,1994-06-01,na
China,1994-06-01,11915
Hong Kong SAR,1994-06-01,22411
Taiwan,1994-06-01,35557
Other Markets In Greater China,1994-06-01,na
North Asia,1994-06-01,na
Japan,1994-06-01,81871
South Korea,1994-06-01,16201
Other Markets In North Asia,1994-06-01,na
South Asia,1994-06-01,27031
Bangladesh,1994-06-01,2554
India,1994-06-01,16498
Pakistan,1994-06-01,3139
Sri Lanka,1994-06-01,3419
Other Markets In South Asia,1994-06-01,1421
West Asia,1994-06-01,4267
